Huvudrubrik,Avsnitt,KVÅ-kod,Titel/Kodtext,Beskrivningstext
Utredning/Bedömning/Uppföljning,Utredning av psykiska funktioner,PA001,Bedömning av medvetandefunktioner,"Bedömning av medvetandegrad. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b110"
Utredning/Bedömning/Uppföljning,Utredning av psykiska funktioner,PA002,Bedömning av orienteringsfunktioner ,"Bedömning av orientering till tid, rum och person, orientering till sig själv och andra. Desorientering till tid, rum och person. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b114"
Utredning/Bedömning/Uppföljning,Utredning av psykiska funktioner,PA003,Bedömning av intellektuella funktioner,"Bedömning av den intellektuella utvecklingens funktioner, intellektuell utvecklingshämning, psykisk utvecklingshämning, demens. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b117"
Utredning/Bedömning/Uppföljning,Utredning av psykiska funktioner,PA004,Bedömning av övergripande psykosociala funktioner,"Bedömning av allmänna psykiska funktioner och deras utveckling över livscykeln som krävs för att förstå och på ett konstruktivt sätt integrera de olika psykiska funktioner som utgör grund för uppbyggnad av mellanmänsklig förmåga som är nödvändig för att upprätta meningsfulla ömsesidiga sociala kontakter. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b122"
Utredning/Bedömning/Uppföljning,Utredning av psykiska funktioner,PA005,Bedömning av temperament och personlighetsfunktioner,"Bedömning av allmänna psykiska funktioner i en persons konstitutionella disposition att reagera på ett särskilt sätt i situationer och som innefattar den uppsättning av psykiska egenskaper som gör att en person klart skiljer sig från andra. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b126"
Utredning/Bedömning/Uppföljning,Utredning av psykiska funktioner,PA006,Bedömning av energi och driftfunktioner,"Bedömning av allmänna psykiska funktioner av fysiologiska och psykologiska mekanismer som gör att en person envist strävar efter att tillfredsställa specifika behov och allmänna mål. Innefattar bedömning av energinivå, motivation, aptit, begär efter substanser, impulskontroll. Innefattar även insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b130"
Utredning/Bedömning/Uppföljning,Utredning av psykiska funktioner,PA007,Bedömning av sömnfunktioner,"Bedömning av funktioner som sömnmängd, insomning, sömnunderhåll, sömnkvalitet, sömncykeln, sömnlöshet, hypersömn, narkolepsi. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b134"
Utredning/Bedömning/Uppföljning,Utredning av psykiska funktioner,PA008,Bedömning av uppmärksamhetsfunktioner,"Bedömning av att vidmakthålla uppmärksamhet, skifta uppmärksamhet, fördela uppmärksamhet samt koncentration, distraherbarhet. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b140"
Utredning/Bedömning/Uppföljning,Utredning av psykiska funktioner,PA009,Bedömning av minnesfunktioner,"Bedömning av korttidsminne, långtidsminne samt att återge minnen. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b144"
Utredning/Bedömning/Uppföljning,Utredning av psykiska funktioner,PA010,Bedömning av psykomotoriska funktioner,"Bedömning av specifika psykiska funktioner för kontroll över motoriska och psykologiska händelser på kroppsnivå. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b147"
